Loss,AUC,F1-Score,PR-AUC
1.1264687776565552,0.7741833925247192,0.7260454893112183,0.6534041166305542
1.09060800075531,0.7830290198326111,0.7283223867416382,0.6944390535354614
1.061646819114685,0.7861867547035217,0.7284812331199646,0.7595385313034058
1.037498116493225,0.7880042791366577,0.7288689017295837,0.7766848802566528
1.017164945602417,0.7895063161849976,0.7293563485145569,0.7778041362762451
0.9999152421951294,0.7908431887626648,0.7299376130104065,0.7792860269546509
0.9852092266082764,0.7920637726783752,0.7304779291152954,0.780584454536438
0.9726274609565735,0.7931831479072571,0.7309097647666931,0.7818422317504883
0.9618369936943054,0.7941996455192566,0.7312862277030945,0.7830110192298889
0.9525578618049622,0.7951293587684631,0.7315718531608582,0.7841371893882751
0.9445663094520569,0.795973002910614,0.7319122552871704,0.7851927280426025
0.9376686215400696,0.7967509031295776,0.7322335839271545,0.7862102389335632
0.931705117225647,0.7974952459335327,0.7325234413146973,0.7872273325920105
0.9265276193618774,0.7982505559921265,0.7328860759735107,0.7883162498474121
0.9220041036605835,0.7990405559539795,0.7332726120948792,0.789526641368866
0.918009340763092,0.7998602390289307,0.7337403893470764,0.7908450365066528
0.9144386649131775,0.8006945848464966,0.734249472618103,0.7922363877296448
0.9112088680267334,0.8015325665473938,0.7348357439041138,0.7936570644378662
0.9082558155059814,0.8023663759231567,0.7354575395584106,0.7950664162635803
0.9055300354957581,0.8031921982765198,0.7360815405845642,0.7964319586753845
0.902991771697998,0.8040141463279724,0.7367430329322815,0.7977344989776611
0.9006059169769287,0.8048346042633057,0.7374593615531921,0.7989757657051086
0.8983446359634399,0.805657684803009,0.738140344619751,0.8001550436019897
0.8961852788925171,0.806484043598175,0.7388304471969604,0.8012783527374268
0.8941099047660828,0.8073157072067261,0.7395227551460266,0.802344560623169
0.8921046853065491,0.8081521987915039,0.7401729822158813,0.8033614754676819
0.8901585936546326,0.808993935585022,0.7407970428466797,0.8043263554573059
0.888261079788208,0.8098446130752563,0.7414430975914001,0.8052509427070618
0.8864014744758606,0.8107011318206787,0.7420544624328613,0.8061325550079346
0.8845720887184143,0.8115613460540771,0.7426273822784424,0.8069741129875183
0.8827674388885498,0.812421977519989,0.7431946992874146,0.807772159576416
0.8809829950332642,0.81328284740448,0.7437635064125061,0.8085343241691589
0.8792158365249634,0.8141403198242188,0.7442748546600342,0.8092585802078247
0.8774635195732117,0.8149908185005188,0.7447361946105957,0.8099491000175476
0.875725507736206,0.8158329725265503,0.7451615929603577,0.8106090426445007
0.8740018606185913,0.8166617751121521,0.745583713054657,0.8112367391586304
0.8722938895225525,0.8174750804901123,0.7459943890571594,0.8118304014205933
0.8706035017967224,0.8182712197303772,0.7463425993919373,0.8123985528945923
0.8689337372779846,0.8190472722053528,0.7466482520103455,0.8129409551620483
0.8672875165939331,0.8198020458221436,0.7469799518585205,0.8134568929672241
0.8656675219535828,0.8205325603485107,0.7472927570343018,0.8139485120773315
0.8640776872634888,0.821237325668335,0.7475886940956116,0.8144177198410034
0.8625215888023376,0.8219141960144043,0.7478402256965637,0.8148637413978577
0.8610022664070129,0.8225612640380859,0.7480931282043457,0.8152868747711182
0.8595241904258728,0.8231788873672485,0.7483236789703369,0.8156895041465759
0.8580890893936157,0.8237653374671936,0.7485374212265015,0.8160707354545593
0.8566998243331909,0.8243207931518555,0.7487438321113586,0.8164315819740295
0.8553588390350342,0.8248438835144043,0.7489450573921204,0.8167715668678284
0.8540686368942261,0.8253358602523804,0.7491220235824585,0.8170908689498901
0.852830171585083,0.8257977366447449,0.7492873072624207,0.8173954486846924
0.8516445159912109,0.8262283205986023,0.7494498491287231,0.8176780343055725
0.8505123257637024,0.8266306519508362,0.7495813369750977,0.8179453015327454
0.8494334816932678,0.827004611492157,0.7497002482414246,0.8181977868080139
0.8484073281288147,0.8273523449897766,0.7498322129249573,0.8184329271316528
0.8474329710006714,0.8276751041412354,0.7499514818191528,0.8186545372009277
0.8465083241462708,0.8279735445976257,0.7500590085983276,0.8188621997833252
0.8456325531005859,0.828250527381897,0.7501489520072937,0.8190551400184631
0.8448036909103394,0.8285067081451416,0.7502415180206299,0.8192370533943176
0.8440203666687012,0.8287441730499268,0.7503352165222168,0.8194087743759155
0.8432808518409729,0.828964352607727,0.7504465579986572,0.8195708394050598
0.8425832986831665,0.8291677236557007,0.75053870677948,0.819722592830658
0.8419249653816223,0.8293565511703491,0.7506242394447327,0.8198668360710144
0.8413045406341553,0.8295305371284485,0.7506997585296631,0.8200001120567322
0.8407204747200012,0.8296923637390137,0.7507786750793457,0.8201261758804321
0.8401702046394348,0.8298419117927551,0.7508566379547119,0.8202455639839172
0.8396520614624023,0.82998126745224,0.7509241700172424,0.8203588128089905
0.8391639590263367,0.8301105499267578,0.7509806752204895,0.8204653263092041
0.8387041091918945,0.8302311897277832,0.7510263919830322,0.8205662965774536
0.8382701277732849,0.8303444385528564,0.7510810494422913,0.8206617832183838
0.837860107421875,0.8304505348205566,0.7511362433433533,0.8207513689994812
0.8374723792076111,0.830549955368042,0.751183807849884,0.8208374381065369
0.8371053338050842,0.8306439518928528,0.7512515783309937,0.8209207057952881
0.8367581367492676,0.8307323455810547,0.7512925863265991,0.8209962248802185
0.8364297747612,0.8308159708976746,0.7513498663902283,0.8210721015930176
0.8361186981201172,0.8308953046798706,0.75140780210495,0.8211427330970764
0.8358235955238342,0.830970287322998,0.7514631748199463,0.8212120532989502
0.8355433344841003,0.8310410976409912,0.7515175938606262,0.8212741613388062
0.8352771997451782,0.8311089277267456,0.7515442371368408,0.8213365077972412
0.8350238800048828,0.8311735391616821,0.7515631914138794,0.8213953971862793
0.8347828388214111,0.8312360644340515,0.7516077160835266,0.8214539289474487
0.8345525860786438,0.8312958478927612,0.7516345381736755,0.8215073347091675
0.8343328237533569,0.8313534259796143,0.751669704914093,0.8215606808662415
0.8341222405433655,0.8314081430435181,0.7517028450965881,0.8216085433959961
0.8339205384254456,0.8314615488052368,0.7517325282096863,0.8216572999954224
0.8337268233299255,0.831512987613678,0.7517512440681458,0.8217037916183472
0.8335404396057129,0.8315631151199341,0.7517781257629395,0.8217479586601257
0.8333609104156494,0.8316122889518738,0.7518061995506287,0.8217920064926147
0.8331880569458008,0.8316597938537598,0.7518383860588074,0.8218327164649963
0.8330212235450745,0.8317059278488159,0.7518680691719055,0.8218730092048645
0.8328602910041809,0.8317506909370422,0.7519001364707947,0.821912944316864
0.8327050805091858,0.831794023513794,0.7519261240959167,0.8219494223594666
